iteration,loss,reward
100,0.021002860742155464,-0.10434790274128318
200,0.029738210259238257,-0.1707719765789807
300,0.03289886876009405,-0.19499536559917033
400,0.0361847250116989,-0.23230640111491085
500,0.028554644682444633,-0.23732129242271185
600,0.046113201668486,-0.17693750297650696
700,0.03950195565528702,-0.23797241685912013
800,0.03376694729784504,-0.24121484886854888
900,0.007936430347310832,-0.35673683663830164
1000,0.03380594124318186,-0.2853686632588506
1100,0.0675867079518051,-0.30093628909438846
1200,0.062279520314527874,-0.3058752545714378
1300,0.05173938698650716,-0.3127951833792031
1400,0.03908000811610585,-0.33554225543513894
1500,0.11243350221193396,-0.25942627487704156
1600,0.3238866041926667,-0.25202515175566076
1700,0.13720617816870473,-0.2883894103392959
1800,0.13801309085302704,-0.28702613309025765
1900,0.04921336764993917,-0.35072828728705646
2000,0.13867038458163733,-0.2792482962086797
2100,0.08427489307464128,-0.3309482549503446
2200,0.16887388006027323,-0.2786501514352858
2300,0.08643584567402286,-0.3261743228882551
2400,0.281818110866938,-0.309015387352556
2500,0.15694280017520212,-0.32020410772413016
2600,0.22233206021181331,-0.30848731216043235
2700,0.09567491482132028,-0.23873169429600238
2800,0.14141740924795157,-0.21440796429291367
2900,0.12976575199048968,-0.19539868645370007
3000,0.13948871137290553,-0.3151855501160026
3100,0.002197191238155938,-0.36537036567926406
3200,0.2286534578422834,-0.30367187708616256
3300,0.1477912589450534,-0.347362556271255
3400,0.22528136509492014,-0.3231904352456331
3500,0.27012938583160007,-0.3287863885983825
3600,0.0061608790626306136,-0.3978325435519218
3700,0.10645880513253758,-0.3437817542627454
3800,0.15359382263928067,-0.34207081999629735
3900,0.45746771425805405,-0.321972907371819
4000,0.41460876076362524,-0.3315532307513058
4100,0.307356660823923,-0.326737076388672
4200,0.3494288391261912,-0.3538393758237362
4300,0.0012474320144963257,-0.40000003576278687
4400,0.6410926080720151,-0.3217898118589073
4500,0.00117049116123777,-0.39976687885820866
4600,0.5520682686402187,-0.35178542908281085
4700,0.7280003517272416,-0.31918286947533486
4800,0.4029252061325217,-0.3609172547608614
4900,1.0283625422290896,-0.3097729600779712
5000,0.5912787921773,-0.3499719364568591
5100,0.4250196402371314,-0.36546828083693983
5200,0.7172958068454911,-0.33341773744672537
5300,0.8851873394174811,-0.3307187609001994
5400,0.005583756577729986,-0.39919753655791285
5500,0.7767727157472666,-0.336933369114995
5600,0.03080772944944442,-0.3980434865504503
5700,0.00104062893584711,-0.3999839223921299
5800,2.267551586120394,-0.25302710666321215
5900,1.359767997815926,-0.31800855435431
6000,1.9237764666671864,-0.2840266176126897
6100,0.8195217902084369,-0.3414441000670195
6200,0.7554479112738991,-0.3319487406685948
6300,1.2617667840006583,-0.3113203247636557
6400,1.32739806870115,-0.2693339865654707
6500,0.9196519651256051,-0.32122461481019854
6600,0.04477293487165241,-0.3921833710372448
6700,0.4702648072941088,-0.369513205550611
6800,1.206048602594385,-0.27604590692557396
6900,0.7232278075210036,-0.34186305832117797
7000,0.8406267771254659,-0.32565870225429533
7100,1.1346427309055753,-0.2982048397511244
7200,1.1669482479381792,-0.2952236393839121
7300,0.6142927884246092,-0.34859131764620543
7400,0.6683841958778225,-0.34002661917358634
7500,0.01291223779375173,-0.3858315542340279
7600,0.8591901647163298,-0.3366682257130742
7700,0.23442983573295795,-0.38115651726722716
7800,2.2236498940997795,-0.26375245066359637
7900,0.08809624753308597,-0.3904209101945162
8000,1.6940144222251203,-0.30106690322980284
8100,1.0949703126035275,-0.3217443924024701
8200,0.8244761493662373,-0.3402976137213409
8300,0.0025734359248690453,-0.3730307698249817
8400,0.46723076439130184,-0.34559546537697317
8500,0.14426630158205966,-0.3855825405567884
8600,0.6346169411713272,-0.35648829670622945
8700,0.017672051980948993,-0.3995700977742672
8800,0.4485290882266321,-0.32346485782414675
8900,0.24120714813122746,-0.2872041057795286
9000,0.9881240118077238,-0.3375913229584694
9100,1.0399995850573998,-0.33319972395896913
9200,0.0030140927335571633,-0.3995193187147379
9300,0.41523172448778495,-0.3573288793489337
9400,1.9693229146417945,-0.30408472688868643
9500,1.698462305261345,-0.3300891244597733
9600,0.6779432990553557,-0.3540720376372337
9700,0.310260830389019,-0.3674748696759343
9800,0.000989428137155528,-0.3993010503053665
9900,0.49824999161470485,-0.36120655622333286
