iteration,loss,reward
0,0.4848739504814148,-0.00917968712747097
100,0.4821228942275047,-0.0038339844247093423
200,0.47266275495290755,-0.003167968861525878
300,0.45500528305768967,-0.003232421989523573
400,0.40984882056713107,-0.0005546875999425537
500,0.332291199862957,0.002853515509632416
600,0.28691171437501906,0.007802734263241291
700,0.27446317940950393,0.009361327958176844
800,0.2592760142683983,0.012519531197613105
900,0.2602128469944,0.014033202943392099
1000,0.2618667486310005,0.015167968631722033
1100,0.26430522799491885,0.016820312230847775
1200,0.2571330860257149,0.018609374915249645
1300,0.26502359271049497,0.018523437480907887
1400,0.26671339333057403,0.018792968597263097
1500,0.272886124253273,0.01942578111542389
1600,0.2783251988887787,0.01951953111216426
1700,0.27978549420833587,0.019792968519032002
1800,0.2740955755114555,0.02062304683146067
1900,0.2798148036003113,0.02016406218521297
2000,0.27520017385482787,0.0214296873123385
2100,0.277026880979538,0.02169531243853271
2200,0.26856355249881747,0.023199218292720616
2300,0.27669652700424197,0.021388671821914614
2400,0.27501334965229035,0.022492187367752194
2500,0.27682836502790453,0.021908203014172612
2600,0.275939876139164,0.021109374733641745
2700,0.2685868576169014,0.022874999763444065
2800,0.26747584104537964,0.02312499995343387
2900,0.2686405298113823,0.023058593426831066
3000,0.26896973729133605,0.02391015616012737
3100,0.2651190906763077,0.02575195305980742
3200,0.2666489604115486,0.02252734369598329
3300,0.266777318418026,0.02263671858701855
3400,0.27650964856147764,0.024986328026279807
3500,0.27472175657749176,0.025535156121477484
3600,0.2793720453977585,0.02725390621460974
3700,0.2841829478740692,0.025623046709224582
3800,0.28018547415733336,0.02641992170829326
3900,0.3162432587146759,0.025597655940800906
4000,0.3383846145868301,0.02710937491618097
4100,0.3425838378071785,0.02515429671853781
4200,0.34149961918592453,0.02429296842776239
4300,0.38231906563043594,0.02438085913658142
4400,0.4096888080239296,0.024425781192258002
4500,0.4016260799765587,0.02601953118108213
4600,0.4418193337321281,0.02313085941132158
4700,0.44537654221057893,0.023722656043246387
4800,0.4542264783382416,0.023816405930556356
4900,0.4547666612267494,0.023824218507506885
5000,0.4560992705821991,0.022794921649619937
5100,0.4602973514795303,0.023060546689666808
5200,0.4567840561270714,0.024406249994644896
5300,0.46153008073568347,0.023246093611232935
5400,0.46620907574892045,0.023353515672497452
5500,0.46763714253902433,0.022117187399417162
5600,0.46944987267255783,0.02122265617828816
5700,0.4706005468964577,0.02204687471501529
5800,0.4747370660305023,0.02204296823590994
5900,0.46819541841745377,0.02425781229045242
6000,0.4629500964283943,0.024564452897757293
6100,0.4716120135784149,0.024478515532100575
6200,0.4689412382245064,0.025162109415978195
6300,0.4655636891722679,0.024187499745748936
6400,0.4718723151087761,0.023335937382653354
6500,0.4677662894129753,0.024525390416383745
6600,0.47020378082990644,0.024535156040801667
6700,0.47241667479276656,0.024031250099651517
6800,0.47068300247192385,0.02608789036050439
6900,0.4651981571316719,0.025521484147757293
7000,0.46398015528917314,0.02667382809333503
7100,0.46989630311727526,0.024515624849591404
7200,0.46902185887098313,0.02525585894007236
7300,0.4714165744185448,0.025455077830702066
7400,0.46487933278083804,0.025830077938735485
7500,0.4652246481180191,0.025939452955499293
7600,0.4658669620752335,0.02507226536050439
7700,0.46064616143703463,0.026234374772757293
7800,0.45951496124267577,0.02706249977927655
7900,0.45425783455371854,0.025833984147757293
8000,0.44484333783388136,0.02617578101810068
8100,0.4506217685341835,0.02834960905369371
8200,0.45152379453182223,0.025757812513038516
8300,0.4391166466474533,0.02629101563245058
8400,0.4119595065712929,0.026498046712949874
8500,0.425644146502018,0.027503905824851245
8600,0.4042922493815422,0.028089843820780516
8700,0.4138075622916222,0.025685546817258
8800,0.39689221024513244,0.028744140546768902
8900,0.39717780172824857,0.029103515334427357
9000,0.3948080438375473,0.02890820300206542
9100,0.40563288450241086,0.028722656052559616
9200,0.39399302035570144,0.02961523413192481
9300,0.4161410054564476,0.029425780922174453
9400,0.41109502196311953,0.029718749774619937
9500,0.39894398391246794,0.028792968858033417
9600,0.40192740470170973,0.029226562147960065
9700,0.4105018612742424,0.0282871095277369
9800,0.4162045216560364,0.030283203208819033
9900,0.41015688568353653,0.028099609166383745
