iteration,loss,reward
100,0.004335054941475391,0.014532714717715863
200,0.006504135403665714,0.037000487998593595
300,0.007967879334464668,0.03741357398219407
400,0.00953687698347494,0.03239257793640718
500,0.011102789693977684,0.03180957009783015
600,0.015331759789260104,0.03531982402317226
700,0.016931973039172588,0.03750927701592446
800,0.019281669752672315,0.03851123013999313
900,0.01968412125017494,0.03684179656207562
1000,0.021845473223365844,0.03657324207946658
1100,0.023568519921973348,0.03485107406915631
1200,0.02082632943522185,0.032703612954355775
1300,0.013844947027973831,0.02004931633549859
1400,0.02413955135270953,0.03174218723317608
1500,0.018056659743888304,0.023440429539768957
1600,0.006800029624973831,0.009318359391400008
1700,0.020486249163514002,0.026202636544476264
1800,0.016580781573429702,0.018986328104620042
1900,0.005481625141219411,0.008480957026404213
2000,0.01823554755461373,0.02122265608944872
2100,0.017544667383917842,0.019101074073041673
2200,0.027543361955322324,0.030647460783366113
2300,0.014660797970718705,0.018518066368997096
2400,0.011267905420390889,0.011248046819600859
2500,0.02781421200139448,0.0325532223447226
2600,0.018112033147772308,0.021456054688678707
2700,0.02037412689416669,0.02239599581051152
2800,0.009052291506086475,0.00988867184463743
2900,0.01693680219410453,0.01903320301131316
3000,0.027443367033265532,0.03101123019529041
3100,0.0068670552186296165,0.008865722629343509
3200,0.015297992217455593,0.017284667889325648
3300,0.014584908735705539,0.017608398352749646
3400,0.011392004745139274,0.012678710859836429
3500,0.011868660972377256,0.01484423824964324
3600,0.02060984972591541,0.022768554494032287
3700,0.01539586262195371,0.018358398302225395
3800,0.011313901353860274,0.011893066343327518
3900,0.009920400258270092,0.012241699181431613
4000,0.0023463661373534705,0.002985839831926569
4100,0.0002891146123895538,0.00036474609070864973
4200,1.8895316892297843e-06,0.0
4300,3.635443786239811e-05,1.9531249890860635e-05
4400,0.010350402028008148,0.01133349611700396
4500,0.023862181085860357,0.025244628616928822
4600,0.02387368673691526,0.026720214739325458
4700,0.025325417483691125,0.02693261704262113
4800,0.02389875880908221,0.027230956744169817
4900,0.01437241254025139,0.01806591794418637
5000,0.004909356023672444,0.0062275391209550435
5100,0.02361453588120639,0.026367675624205732
5200,0.02519417516188696,0.02902343718218617
5300,0.019342541793594136,0.021067870986298656
5400,0.030600340587552635,0.03471142565016635
5500,0.023309256474021822,0.025964355249889194
5600,0.022368791865883395,0.024794433548813687
5700,0.009091194087523036,0.010517089927125198
5800,0.013791459708190814,0.015083495997096179
5900,0.004814382711483631,0.005302246113642468
6000,0.0038487488251439574,0.003956054676673375
6100,0.019082788625964894,0.020689941281452774
6200,0.01423159248981392,0.015504394452291308
6300,0.010065458611552457,0.011931640533111932
6400,0.011331555777123867,0.0120585936945281
6500,0.009550676995859248,0.010377441422351695
6600,0.005802504417001728,0.0077177734299039005
6700,1.4222332467852538e-05,2.636718752910383e-05
6800,0.0033164382056394006,0.0024672851315699516
6900,0.021117483102716505,0.022429687295807525
7000,0.01299367288927897,0.01457714836094965
7100,0.0004467509871324182,0.0006040039029903709
7200,0.0123250837627495,0.011868652296761865
7300,0.013472585026174783,0.01611230464252003
7400,0.016324202683649675,0.01701220687958994
7500,0.010508096362245851,0.012539550776091346
7600,0.018626949285098816,0.019754394301926367
7700,0.01659349081222899,0.01702246088476386
7800,0.02614706541178748,0.028258789014071226
7900,0.012893803422339261,0.014977539037936367
8000,0.007961678283863875,0.008960937512747479
8100,0.024576143953017892,0.027341308403993025
8200,0.018988280975609086,0.022553710796055382
8300,0.014633296958927532,0.016136718690177076
8400,0.016878649631980807,0.020698242085054518
8500,0.009249044489406515,0.010571289052095381
8600,0.007746820273196136,0.008292480408890697
8700,0.017934427622240037,0.01857470698574616
8800,0.022425191091606393,0.024446288947947325
8900,0.008535633885330754,0.010380859404831426
9000,0.003669957609613448,0.004387207048093842
9100,0.006504663533678468,0.00617382807588001
9200,0.026019087228924036,0.026447753766115058
9300,0.018466982471290975,0.02045458965934813
9400,0.009078343315486563,0.009330078128550667
9500,0.016691548557973876,0.017164550656234498
9600,0.009706936717120697,0.010323242177983048
9700,0.025950805348402356,0.025415038761566394
9800,0.023260463238693775,0.025162597481648844
9900,0.02652983511216007,0.025609374780469808
