iteration,loss,reward
100,0.006368914691265672,-0.041327515234297604
200,0.0039027326973155143,0.021343140542376203
300,0.004049722108175047,0.04205407883506268
400,0.004514403521316126,0.043669435302726926
500,0.004844879071461037,0.04586511393077672
600,0.00521652138850186,0.04379504563752562
700,0.004649483987595886,0.045326173570938405
800,0.004203779503586702,0.04437695473432541
900,0.003860615564044565,0.046447999882511797
1000,0.0037155585450818762,0.0468029802897945
1100,0.0034476410323986783,0.04622497740201652
1200,0.003322776638669893,0.046272706673480574
1300,0.003291768350172788,0.04471045072656125
1400,0.0031732939224457368,0.04746325878426433
1500,0.0029735702884499914,0.04602990895975381
1600,0.002983866156428121,0.043934449921362105
1700,0.00287149332172703,0.04578027503564954
1800,0.0027469748412841,0.04562024094630033
1900,0.002723181476467289,0.04613488945178688
2000,0.002643821540987119,0.047071412960067394
2100,0.0028850546656758523,0.04528112965170294
2200,0.0029303665086627007,0.045111207799054684
2300,0.002903992764186114,0.04772497738711536
2400,0.0028485157134127805,0.04781115888617933
2500,0.002771473661705386,0.04785888838581741
2600,0.0029816588247194888,0.04756945976056159
2700,0.003066917657270096,0.04361132982186973
2800,0.0030742856604047118,0.04255749695468694
2900,0.00307411083340412,0.04628564601298422
3000,0.0032344509375980125,0.04677441585343331
3100,0.003197184545570053,0.04497595376335085
3200,0.003364626841212157,0.048165407036431136
3300,0.0033068994455970825,0.04652343920432031
3400,0.003418520334525965,0.04692346362862736
3500,0.00331736050080508,0.04550024594180286
3600,0.003522800723440014,0.04766626177355647
3700,0.0035875188646605238,0.04817883478477597
3800,0.0036216537514701485,0.04409436207730323
3900,0.003493826424237341,0.04799206713214517
4000,0.003412444568821229,0.04698828300926834
4100,0.003356967114377767,0.0474971944373101
4200,0.0034796769119566306,0.0470202653715387
4300,0.00343612220720388,0.04796374668367207
4400,0.003374209139146842,0.046375245940871536
4500,0.0033416062290780248,0.046497926549054686
4600,0.003450521506019868,0.043819215632975105
4700,0.003254901664913632,0.046674074186012146
4800,0.0033915766765130685,0.048742433395236734
4900,0.0033857775415526703,0.045176027053967116
5000,0.003398128462722525,0.04567102213855833
5100,0.0034366094908909873,0.04817273115739226
5200,0.0034069108311086892,0.047281251680105926
5300,0.0033056749368552117,0.04684790221042931
5400,0.0032945036207092924,0.04667102240025997
5500,0.0033229553780984135,0.045754396219272166
5600,0.003352678983937949,0.04843213050626218
5700,0.0034062313474714757,0.04890966958366334
5800,0.0034022800938691942,0.04854260446038097
5900,0.003347842828370631,0.04877295129932463
6000,0.0033758471260080113,0.04719482590444386
6100,0.0032707412948366254,0.04866003604605794
6200,0.0033680765220196916,0.04714319023769349
6300,0.003458726920071058,0.04819091994315386
6400,0.0035462460707640277,0.04800598341971636
6500,0.0034447621915023774,0.04850049012340605
6600,0.003420469929696992,0.046205323836766184
6700,0.0035909947217442097,0.04879174994304776
6800,0.003553684462676756,0.04498169134370983
6900,0.003442076063947752,0.04608557290863246
7000,0.0035558370011858644,0.04614990416914225
7100,0.0035356208740267903,0.04805700865574181
7200,0.0035839292040327564,0.04678528005257249
7300,0.003698607520200312,0.04375390769680962
7400,0.0035667057015234603,0.04469397137872875
7500,0.003741026067873463,0.04534875643439591
7600,0.003737380770035088,0.047293336801230906
7700,0.0035734723979840054,0.04814929381944239
7800,0.003582123966771178,0.047266359189525244
7900,0.0034311666392022743,0.04734375175088644
8000,0.00341170962958131,0.04792932298965752
8100,0.0032023616490187124,0.0467791767558083
8200,0.003293439213302918,0.04748376640956849
8300,0.003447675567585975,0.045100831827148795
8400,0.0035507356526795777,0.04879040680360049
8500,0.0034821092296624554,0.04725915702059865
8600,0.003751890294952318,0.04745862012729049
8700,0.003796793086803518,0.046194459679536524
8800,0.003780748974531889,0.047573976223357024
8900,0.0036861832067370415,0.04844299480319023
9000,0.003557208704878576,0.048596071191132066
9100,0.003460941448574886,0.04664502118714154
9200,0.0035909133328823374,0.04864514356479049
9300,0.0035612401878461243,0.044745729106944056
9400,0.003449636571458541,0.04608410808839835
9500,0.003479166366159916,0.0470792253036052
9600,0.003623917369404808,0.047562624071724714
9700,0.003676698699709959,0.0488549823127687
9800,0.003683428020449355,0.047903078068047764
9900,0.003599931086646393,0.04728796558920294
